item,run_index,total_carbon,model_name
chair,1,94.27,gpt-4.1-2025-04-14
chair,2,219.50,gpt-4.1-2025-04-14
chair,3,139.60,gpt-4.1-2025-04-14
monitor,1,122.75,gpt-4.1-2025-04-14
monitor,2,70.32,gpt-4.1-2025-04-14
monitor,3,147.60,gpt-4.1-2025-04-14
jeans,1,9.50,gpt-4.1-2025-04-14
jeans,2,17.65,gpt-4.1-2025-04-14
jeans,3,9.57,gpt-4.1-2025-04-14
ink_cartridge,1,0.31,gpt-4.1-2025-04-14
ink_cartridge,2,0.65,gpt-4.1-2025-04-14
ink_cartridge,3,0.51,gpt-4.1-2025-04-14
coffee_capsule,1,0.16,gpt-4.1-2025-04-14
coffee_capsule,2,0.07,gpt-4.1-2025-04-14
coffee_capsule,3,0.12,gpt-4.1-2025-04-14
couch,1,388.90,gpt-4.1-2025-04-14
couch,2,275.70,gpt-4.1-2025-04-14
couch,3,268.10,gpt-4.1-2025-04-14
barbie_doll,1,1.74,gpt-4.1-2025-04-14
barbie_doll,2,0.94,gpt-4.1-2025-04-14
barbie_doll,3,1.84,gpt-4.1-2025-04-14
pot,1,650.04,gpt-4.1-2025-04-14
pot,2,181.93,gpt-4.1-2025-04-14
pot,3,29.16,gpt-4.1-2025-04-14
pencil,1,0.10,gpt-4.1-2025-04-14
pencil,2,0.09,gpt-4.1-2025-04-14
pencil,3,0.00,gpt-4.1-2025-04-14
monitor,1,207.38,gpt-4.1-2025-04-14
jeans,1,90.70,gpt-4.1-2025-04-14
chair,2,78.43,gpt-4.1-2025-04-14
jeans,2,8.56,gpt-4.1-2025-04-14
chair,4,170.48,gpt-4.1-2025-04-14
chair,1,184.11,gpt-4.1-2025-04-14
monitor,2,121.29,gpt-4.1-2025-04-14
monitor,3,305.07,gpt-4.1-2025-04-14
jeans,3,10.89,gpt-4.1-2025-04-14
ink_cartridge,4,0.57,gpt-4.1-2025-04-14
jeans,4,27.44,gpt-4.1-2025-04-14
ink_cartridge,3,0.91,gpt-4.1-2025-04-14
coffee_capsule,2,0.10,gpt-4.1-2025-04-14
ink_cartridge,1,0.35,gpt-4.1-2025-04-14
coffee_capsule,1,0.18,gpt-4.1-2025-04-14
coffee_capsule,3,0.09,gpt-4.1-2025-04-14
coffee_capsule,4,0.10,gpt-4.1-2025-04-14
ink_cartridge,2,73.31,gpt-4.1-2025-04-14
couch,1,298.44,gpt-4.1-2025-04-14
barbie_doll,1,1.50,gpt-4.1-2025-04-14
couch,3,280.80,gpt-4.1-2025-04-14
pot,1,335.94,gpt-4.1-2025-04-14
couch,2,319.30,gpt-4.1-2025-04-14
barbie_doll,2,3.00,gpt-4.1-2025-04-14
couch,4,278.31,gpt-4.1-2025-04-14
barbie_doll,3,1.47,gpt-4.1-2025-04-14
pot,3,98.68,gpt-4.1-2025-04-14
barbie_doll,4,1.18,gpt-4.1-2025-04-14
pencil,4,0.07,gpt-4.1-2025-04-14
pot,4,101.27,gpt-4.1-2025-04-14
pencil,1,0.04,gpt-4.1-2025-04-14
pencil,2,0.08,gpt-4.1-2025-04-14
pencil,3,0.02,gpt-4.1-2025-04-14
